line,method,path,function_name,domain,risk,uses_subprocess,uses_systemctl,uses_storage,uses_safety,uses_mount,uses_dcc_aggregation,uses_file_scan,recommended_action
15217,GET,/api/backup/list,list_backups,backup,high,no,no,no,no,no,no,no,unsafe
15342,POST,/api/backup/verify,verify_backup,backup,critical,no,no,no,no,no,no,no,unsafe
15937,POST,/api/backup/delete,delete_backup,backup,critical,no,no,no,no,no,no,no,unsafe
16199,POST,/api/backup/restore,restore_backup,backup,critical,no,no,no,no,no,no,no,unsafe
16712,GET,/api/raspberry-pi/config,get_raspberry_pi_config,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
16749,POST,/api/raspberry-pi/config,set_raspberry_pi_config,runtime,high,yes,no,no,no,no,no,no,unsafe
16799,GET,/api/raspberry-pi/system-info,get_raspberry_pi_system_info,runtime,low,no,no,no,no,no,no,no,keep_until_facade
16810,GET,/api/raspberry-pi/config/options,get_raspberry_pi_config_options,runtime,low,no,no,no,no,no,no,no,keep_until_facade
16821,GET,/api/raspberry-pi/config/option/{key},get_raspberry_pi_config_option_info,runtime,low,no,no,no,no,no,no,no,keep_until_facade
16832,POST,/api/raspberry-pi/config/validate,validate_raspberry_pi_config_value,runtime,high,no,no,no,no,no,no,no,unsafe
16863,GET,/api/control-center/wifi/networks,get_wifi_networks,runtime,high,no,no,no,no,no,no,no,keep_until_facade
16875,POST,/api/control-center/wifi/scan,wifi_scan_post,runtime,high,no,no,no,no,no,no,no,unsafe
16902,GET,/api/control-center/wifi/config,get_wifi_config,runtime,high,no,no,no,no,no,no,no,keep_until_facade
16914,GET,/api/control-center/wifi/status,get_wifi_status,runtime,high,no,no,no,no,no,no,no,keep_until_facade
16926,POST,/api/control-center/wifi/disconnect,wifi_disconnect,runtime,high,no,no,no,no,no,no,no,unsafe
16939,POST,/api/control-center/wifi/enabled,wifi_set_enabled,runtime,high,no,no,no,no,no,no,no,unsafe
16953,POST,/api/control-center/wifi/add,add_wifi_network,runtime,high,no,no,no,no,no,no,no,unsafe
16973,POST,/api/control-center/wifi/connect,wifi_connect,runtime,high,no,no,no,no,no,no,no,unsafe
16989,GET,/api/control-center/ssh/status,get_ssh_status,runtime,high,no,no,no,no,no,no,no,keep_until_facade
17000,POST,/api/control-center/ssh/set,set_ssh_enabled,runtime,high,no,no,no,no,no,no,no,unsafe
