line,method,path,function_name,domain,risk,uses_storage,uses_safety,uses_mount,uses_subprocess,uses_runtime_write,candidate
17134,POST,/api/raspberry-pi/config,set_raspberry_pi_config,unknown,medium,no,no,no,no,no,no
17184,GET,/api/raspberry-pi/system-info,get_raspberry_pi_system_info,unknown,medium,no,no,no,no,no,maybe
17195,GET,/api/raspberry-pi/config/options,get_raspberry_pi_config_options,unknown,medium,no,no,no,no,no,maybe
17206,GET,/api/raspberry-pi/config/option/{key},get_raspberry_pi_config_option_info,unknown,medium,no,no,no,no,no,maybe
17217,POST,/api/raspberry-pi/config/validate,validate_raspberry_pi_config_value,unknown,medium,no,no,no,no,no,no
17248,GET,/api/control-center/wifi/networks,get_wifi_networks,unknown,medium,no,no,no,no,no,maybe
17260,POST,/api/control-center/wifi/scan,wifi_scan_post,unknown,medium,no,no,no,no,no,no
17287,GET,/api/control-center/wifi/config,get_wifi_config,unknown,medium,no,no,no,no,no,maybe
17299,GET,/api/control-center/wifi/status,get_wifi_status,unknown,low,no,no,no,no,no,maybe
17311,POST,/api/control-center/wifi/disconnect,wifi_disconnect,unknown,medium,no,no,no,no,no,no
17324,POST,/api/control-center/wifi/enabled,wifi_set_enabled,unknown,medium,no,no,no,no,no,no
17338,POST,/api/control-center/wifi/add,add_wifi_network,unknown,medium,no,no,no,no,no,no
17358,POST,/api/control-center/wifi/connect,wifi_connect,unknown,medium,no,no,no,no,no,no
17374,GET,/api/control-center/ssh/status,get_ssh_status,unknown,low,no,no,no,no,no,maybe
17385,POST,/api/control-center/ssh/set,set_ssh_enabled,unknown,medium,no,no,no,no,no,no
17400,POST,/api/control-center/ssh/start,start_ssh,unknown,medium,no,no,no,no,no,no
17413,GET,/api/control-center/vnc/status,get_vnc_status,unknown,low,no,no,no,no,no,maybe
17424,POST,/api/control-center/vnc/set,set_vnc_enabled,unknown,medium,no,no,no,no,no,no
17440,POST,/api/control-center/vnc/start,start_vnc,unknown,medium,no,no,no,no,no,no
17453,GET,/api/control-center/keyboard,get_keyboard_layout,unknown,medium,no,no,no,no,no,maybe
17464,POST,/api/control-center/keyboard/set,set_keyboard_layout,unknown,medium,no,no,no,no,no,no
17481,GET,/api/control-center/locale,get_locale,unknown,medium,no,no,no,no,no,maybe
17492,POST,/api/control-center/locale/set,set_locale,unknown,medium,no,no,no,no,no,no
17508,GET,/api/control-center/desktop,get_desktop_settings,unknown,medium,no,no,no,no,no,maybe
17519,GET,/api/control-center/desktop/boot-target,get_desktop_boot_target,unknown,medium,no,no,no,no,no,maybe
17530,POST,/api/control-center/desktop/boot-target,set_desktop_boot_target,unknown,medium,no,no,no,no,no,no
17553,GET,/api/control-center/display,get_display_settings,unknown,medium,no,no,no,no,no,maybe
17564,POST,/api/control-center/display,set_display_settings,unknown,medium,no,no,no,no,no,no
17595,GET,/api/control-center/display/telemetry,get_display_telemetry_settings,unknown,medium,no,no,no,no,no,maybe
17607,POST,/api/control-center/display/telemetry,set_display_telemetry_settings,unknown,medium,no,no,no,no,no,no
17638,POST,/api/control-center/display/telemetry/runner,set_display_telemetry_runner,unknown,medium,no,no,no,no,no,no
17661,GET,/api/control-center/printers,get_printers,unknown,medium,no,no,no,no,no,maybe
17673,GET,/api/control-center/scanners,get_scanners,unknown,medium,no,no,no,no,no,maybe
17685,GET,/api/control-center/performance,get_performance,unknown,medium,no,no,no,no,no,maybe
17697,POST,/api/control-center/performance,set_performance,unknown,medium,no,no,no,no,no,no
17733,POST,/api/system/reboot,reboot_system,runtime,medium,no,no,no,no,no,no
17755,POST,/api/raspberry-pi/config/reset,reset_raspberry_pi_config,unknown,medium,no,no,no,no,no,no
17795,POST,/api/system/packagekit/stop,stop_packagekit,runtime,medium,no,no,no,no,no,no
17808,GET,/api/control-center/bluetooth/status,get_bluetooth_status,unknown,low,no,no,no,no,no,maybe
17820,POST,/api/control-center/bluetooth/scan,bluetooth_scan,unknown,medium,no,no,no,no,no,no
17833,POST,/api/control-center/bluetooth/enabled,bluetooth_set_enabled,unknown,medium,no,no,no,no,no,no
