Module                  Size  Used by
usbcore               348160  8 xhci_hcd,usbhid,rtsx_usb,usb_storage,uvcvideo,btusb,xhci_pci,uas
scsi_mod              286720  5 sd_mod,usb_storage,uas,libata,sg
crc64_rocksoft         20480  1 t10_pi
crc64                  20480  1 crc64_rocksoft
cec                    61440  2 drm_display_helper,i915
alx                    57344  0
crc_t10dif             20480  1 t10_pi
i2c_i801               36864  0
crct10dif_generic      16384  0
mxm_wmi                16384  1 nouveau
crct10dif_pclmul       16384  1
crc32_pclmul           16384  0
psmouse               184320  0
crc32c_intel           24576  0
i2c_smbus              20480  1 i2c_i801
rc_core                69632  1 cec
mdio                   16384  1 alx
crct10dif_common       16384  3 crct10dif_generic,crc_t10dif,crct10dif_pclmul
scsi_common            16384  5 scsi_mod,usb_storage,uas,libata,sg
usb_common             16384  3 xhci_hcd,usbcore,uvcvideo
video                  65536  3 msi_wmi,i915,nouveau
battery                28672  0
wmi                    36864  5 video,wmi_bmof,msi_wmi,mxm_wmi,nouveau
button                 24576  1 nouveau
